x,y,flux
223.44700054160825,170.83926542950798,6804.31395890518
215.89933234954475,211.4059848944316,6966.673076851738
192.4760433144535,228.19787513581653,8947.265035122435
187.53527210248635,195.06270753419324,4679.672597453765
260.44473939746723,212.8301660350818,13259.782618766334
289.89469801299373,200.71318974450935,10675.334291494153
282.47543038486106,257.1045407773552,11033.225678512625
312.74905822091824,267.84144988021046,14015.598955598518
353.8584632451291,210.8197023074964,11343.669294409592
349.77610388038187,253.17199704930462,8864.582048167382
373.22832516612976,235.22975952771523,12099.084794981463
420.6091823656063,160.29278874387424,13806.104436840766
410.90161930206943,184.87596728214373,5944.095938642917
414.0364620282393,227.27566716936278,4297.361292166995
458.76627759331626,210.2332426488201,7972.587105128203
489.9005687553993,156.2530783189835,9559.063112458312
448.3053638694486,154.06681134510475,10599.198410211911
494.94824282828745,181.296983873245,14821.593062231048
500.2932550833875,233.2328002282137,13084.237340307833
514.077261777526,260.6141218564406,3403.470453634271
543.4569307677682,178.8652291066656,9227.14969659979
545.2346739894231,209.87655232704952,10573.04041935877
549.658110246152,250.71529936789813,7976.714712013352
434.33622988368387,293.4773429171692,5113.9055718795435
382.16786499524886,305.62709521794864,4814.369383889925
347.0310033314084,297.9674085447328,5829.728572611345
264.4483617482693,304.742996741893,9597.144037341199
142.71839975797428,164.58423649851608,13829.395433149853
168.65045205238607,126.00520045623425,10051.825839828938
244.8213276689382,108.84952667082044,7616.348757360729
217.76959343178746,139.05480559541763,4763.344211428825
62.52333661171115,198.64706857284835,16274.437485657632
14.753874323691042,183.3116310384786,10870.581580657921
127.23991697502508,205.27152856932662,13179.650707157001
81.17958221657508,314.01150182676207,7723.704547824617
680.1247819542833,120.14008805551033,14794.88614110318
567.4028099646712,100.7292808507404,7812.273899343113
603.2176160475329,161.16353183697854,5658.060720219641
665.0945575926878,204.50363288991977,13108.698640365219
649.570183859249,246.97362212849148,11612.763385574446
587.9682892564329,242.38193125052527,11794.70079324388
572.333132603417,273.36543396984115,9566.363671161404
567.7032474870551,304.12179876424324,5882.3179900980285
620.7147495860562,293.44041728235555,12236.055426404811
